text,bank,source,article_title,publication_date,is_comparative,document_type,reference,source_type
JPMorgan Chase shares fell more than 5 per cent on Tuesday after the US bank's president warned that investors were being too optimistic about its earnings for next year.,JPMorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"JPMorgan, the largest US bank by assets, led a sell-off of other large US bank stocks, including Goldman Sachs and Citigroup.",Citigroup,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,True,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"JPMorgan, the largest US bank by assets, led a sell-off of other large US bank stocks, including Goldman Sachs and Citigroup.",JPMorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,True,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"""[For] 2025, the analyst consensus is a drop in NII [net interest income] of $1.5bn, from $91.5bn to $90bn,"" JPMorgan president Daniel Pinto told an industry conference organised by Barclays. ""So, that is not very reasonable because the rate expectations [are] lower by 250 basis points. So, I think that that number will be lower.""",JPMorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"JPMorgan shares closed down 5.2 per cent, having fallen about 7 per cent earlier in the day, which would have been the biggest drop since June 2020.",JPMorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"Over the past two years, JPMorgan has emerged as one of the biggest winners from the Federal Reserve's increases in US interest rates. It has benefited from its size to charge more for loans without offering commensurately higher savings rates, boosting the profits from lending.",JPMorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"Pinto declined to provide guidance on what NII for 2025 might be but said the current consensus by analysts for $90bn was ""a bit too high"" and did not adequately anticipate the impact of the Fed's expected cuts to interest rates this year.",JPMorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
Pinto also told investors that investment banking fees in the third quarter were on track to be up by about 15 per cent but that revenues from its trading business were set to be flat or only about 2 per cent higher.,JPMorgan,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"Citi, whose chief financial officer on Monday warned that it would also see trading revenues fall about 4 per cent in the quarter, saw its shares lose 2.7 per cent.",Citigroup,Joshua Franklin,JPMorgan shares fall after warning on 'too high' earnings outlook,2024-09-10,False,news,"News article by Joshua Franklin
Title: JPMorgan shares fall after warning on 'too high' earnings outlook, published 2024-09-10",external
"Citigroup is stripping chief operating officer Anand Selva of his responsibility for a key piece of its compliance work, after the bank was fined $136mn by regulators this summer for reporting failures.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
Citi was fined $136mn in June after inaccurately reporting the details of tens of billions of dollars of loans to regulators.,Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
Following the fine - which specifically mentioned Citi's data issues - chief executive Jane Fraser pledged to commit more resources to improving data controls.,Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"Selva's responsibility for data compliance will be shared with Tim Ryan, the former accountant and top PwC partner who joined Citi in June.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"The move makes Ryan, the bank's chief technology officer, the third senior Citi executive in three years to oversee the task of fixing the bank's persistent data problems.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
Selva will remain head of Citi's larger effort to improve risk controls and continue to head the bank's back-office operations.,Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"The change in responsibilities is a blow to Selva, a 33-year Citi veteran and one of the bank's most senior executives. Selva ran Citi's consumer business and was promoted to chief operating officer in March last year.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"The bank will also name a new top data officer to replace Japan Mehta, who reported to Selva. Ashutosh Nawani will instead report to Ryan.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"Selva and Citi were sued this year by a former staffer, Kathleen Martin, who claims she was instructed by the executive to lie to regulators. Martin alleges she was fired after telling regulators instead that the bank was behind schedule in fixing its issues.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"In 2020, it mistakenly sent $900mn to creditors of cosmetics company Revlon. The error resulted in the ousting of the bank's then-chief executive Michael Corbat and the imposition of a regulatory consent order requiring it to fix the issues.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"Selva assumed responsibility for fixing Citi's compliance issues in the first half of last year after the departure of Karen Peetz, a veteran bank executive.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"However, the bank failed an inspection by the Federal Reserve in September last year. In May, the bank was fined £62mn for failing to catch a $1.4bn trading error that briefly shook European markets.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"In June, banking regulators rejected Citi's so-called living will — a detailed plan to wind itself down in the event of catastrophic failure, also citing data issues. The following month, it was hit with the $136mn fine.",Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
This article has been amended to clarify that Anand Selva will share leadership of Citi's data programme with Tim Ryan,Citigroup,Stephen Gandel,Citigroup strips COO of responsibility after $136mn fine,2024-09-16,False,news,"News article by Stephen Gandel
Title: Citigroup strips COO of responsibility after $136mn fine, published 2024-09-16",external
"Bank of America has placed two bankers in India on administrative leave as part of an investigation into allegations of wrongdoing in the US financial giant's Asian investment bank, according to two sources familiar with the matter.",Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
"The internal investigation, which was launched earlier this year following a whistleblower complaint, is probing whether BofA and bankers in its Asian operations had tipped off certain investors of upcoming secondary offerings, allowing those investors to “front run” the stock sales and profit from nonpublic information.",Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
"A spokesperson for BofA declined to comment. The bank previously confirmed the existence of the internal probe, but at the time said it had found no evidence of misconduct. Neither banker has been fired, and could be reinstated following the investigation, according to the two sources.",Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
"The two bankers, one of whom is a senior member of BofA's Indian investment banking operation, were put on leave on Tuesday. They could not be reached for comment.",Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
"BofA's investigation, for which it has hired outside law firms, is examining whether bankers in its Asian operations sent messages or held meetings with hedge funds and others in advance of large secondary stock offerings on behalf of its corporate clients.",Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
The investigation is looking at a number of deals but is focused on a March $200mn stock sale for the Sun Life life insurance subsidiary of Indian conglomerate Aditya Birla. The investigation is looking into whether the BofA bankers disclosed the upcoming offering and other nonpublic information related to it to certain investors.,Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
Banks are required to disclose such meetings within one day of them being held to stock exchanges and all investors. A person with knowledge of the matter said BofA had discovered that the Indian bankers set up meetings with certain investors prior to the offerings and failed to disclose the meetings as required.,Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
"They also did not adhere to a “cooling off” period as required by regulators and the bank, the person said.",Bank of America,Stephen Gandel and Kaye Wiggins,BofA suspends bankers following probe into Asian stock offerings,2024-09-27,False,news,"News article by Stephen Gandel and Kaye Wiggins
Title: BofA suspends bankers following probe into Asian stock offerings, published 2024-09-27",external
"Jamie Dimon does not like the suggestion that JPMorgan is ""dominant"", as an analyst discovered on the US megabank's earnings call on Friday. How could it be, with more than 4,000 lenders in the US and an abundance of hungry fintechs? Yet in some respects, JPMorgan's hefty profits show that in banking, regular rules of competition no longer apply.",JPMorgan,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,False,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"Take the bank's enormous consumer division. It made a 29 per cent return on equity in the latest quarter. Assume the cost of equity — the minimum investors demand — is 10 per cent, and the bank is making handsome supernormal returns. Over the past decade, if JPMorgan had merely hit that hurdle, its retail bank would have made about $50bn in cumulative earnings. As it is, it made $90bn more than that.",JPMorgan,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,False,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"Extraordinary returns tend to get competed away, textbooks teach — and if they do not, it can suggest a market problem. But there are a few reasons JPMorgan defies gravity. The cost of setting up a rival bank with national reach is prohibitively high. The credit cards JPMorgan peddles rely on troves of historic data and insight into customers' habits. Goldman Sachs is one competitor that tried and failed to build that from scratch.",JPMorgan,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,False,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"Technology has further unlevelled the pitch. After the pandemic accelerated customers' embrace of all things digital, the biggest lenders are shovelling tens of billions of dollars towards faster payments, artificial intelligence and slicker customer experiences. JPMorgan spends $17bn a year on tech. Few can compete: there are only nine US banks whose entire operating expenses are that big, according to LSEG data.",JPMorgan,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,False,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"Not all big banks are similarly fortunate. Apply the 10 per cent return-on-equity hurdle to JPMorgan's rival Citigroup over the past decade, and its actual earnings fall more than $60bn short. That suggests Dimon's steady hand has had a sizeable impact on JPMorgan's outsize returns. And that Citi, by destroying shareholder value year after year, is bending the norms of capitalism in its own way too.",Citigroup,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,True,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"Not all big banks are similarly fortunate. Apply the 10 per cent return-on-equity hurdle to JPMorgan's rival Citigroup over the past decade, and its actual earnings fall more than $60bn short. That suggests Dimon's steady hand has had a sizeable impact on JPMorgan's outsize returns. And that Citi, by destroying shareholder value year after year, is bending the norms of capitalism in its own way too.",JPMorgan,Lex,JPMorgan rewrites laws of finance - with some help,2024-10-15,True,news,"News article by Lex
Title: JPMorgan rewrites laws of finance - with some help, published 2024-10-15",external
"In teen slang, ""no cap"" means ""for real"". For Citigroup investors, the two words could decide whether they hang on to the stock or not.",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,False,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Since last September, when chief executive Jane Fraser unveiled what she called Citi's biggest reorganisation in almost two decades, shares in the US's fourth-largest bank by assets have shot up more than 50 per cent. That looks impressive. But it is merely in line with rivals JPMorgan Chase, Bank of America and Wells Fargo. On a price to tangible book value basis, Citi remains heavily discounted. The ratio, at just 0.7 times, is the lowest among the big US banks.",JPMorgan,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Since last September, when chief executive Jane Fraser unveiled what she called Citi's biggest reorganisation in almost two decades, shares in the US's fourth-largest bank by assets have shot up more than 50 per cent. That looks impressive. But it is merely in line with rivals JPMorgan Chase, Bank of America and Wells Fargo. On a price to tangible book value basis, Citi remains heavily discounted. The ratio, at just 0.7 times, is the lowest among the big US banks.",Bank of America,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Since last September, when chief executive Jane Fraser unveiled what she called Citi's biggest reorganisation in almost two decades, shares in the US's fourth-largest bank by assets have shot up more than 50 per cent. That looks impressive. But it is merely in line with rivals JPMorgan Chase, Bank of America and Wells Fargo. On a price to tangible book value basis, Citi remains heavily discounted. The ratio, at just 0.7 times, is the lowest among the big US banks.",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Regulatory overhang is the biggest obstacle to Fraser's plans to revive Citi's fortunes. The bank is working through two consent orders to fix shortcomings in its risk management, data management and internal controls.",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,False,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Despite the bank spending billions since the orders were imposed in 2020, regulators hit Citi with a $136mn fine this summer for insufficient progress. Senator Elizabeth Warren has called for growth restrictions to be placed on the bank, arguing it had become ""too big to manage"". An asset cap, among the harshest punishments regulators impose on US lenders, is a block on increasing the balance sheet above a certain level, curbing revenues and earnings.",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,False,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Fraser said at third-quarter results this week that Citi was not under a cap and insisted none was expected. Still, questions about a potential limit - days after regulators hit Canada's TD Bank with one is a distraction that Citi does not need.",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,False,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"The results underscored how much work is left to do. Return on tangible common equity - which Fraser has vowed to improve was a dismal 7 per cent. Net income was 9 per cent lower, amid rising credit card loan defaults and a decline in net interest income.",Citigroup,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,False,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
"Citi has been aggressively cutting costs. Third-quarter operating expenses were down 2 per cent year on year. But its efficiency ratio, a measure of expenses to revenue, was 65.2 per cent in the third quarter. That is down from the 67.1 per cent reported a year ago but still well above the 53 per cent at BofA and JPMorgan.",JPMorgan,Pan Yuk,Citigroup's comeback is capped by regulatory threat,2024-10-17,True,news,"News article by Pan Yuk
Title: Citigroup's comeback is capped by regulatory threat, published 2024-10-17",external
