text,fiscal_period_ref,source,role,page,section,reporting_period,date_of_call,bank,document_type,reference,source_type,is_comparative,sentiment
"Hello, and welcome to Citi's First Quarter 2023 Earnings Review with the Chief Executive Officer, Jane Fraser, and Chief Financial Officer, Mark Mason. Today's call will be hosted by Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion of the formal remarks, at which time you will be given instructions for the question-and-answer session. Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect at this time.",quarter,Operator,Host,1,Introduction,Q1_2023,2023-04-14,Citigroup,transcript,"Operator (Host)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Neutral
"Ms. Landis, you may begin.",quarter,Operator,Host,1,Introduction,Q1_2023,2023-04-14,Citigroup,transcript,"Operator (Host)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Neutral
"Thank you, operator. Good morning and thank you all for joining us. I'd like to remind you that today's presentation, which is available for download on our website, citigroup.com, may contain forward-looking statements, which are based on management's current expectations and are subject to uncertainty and changes in circumstances. Actual results may differ materially from these statements due to a variety of factors, including those described in our SEC filings.",quarter,Jennifer Landis,Host,1,Disclaimer,Q1_2023,2023-04-14,Citigroup,transcript,"Jennifer Landis (Host)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Neutral
"With that, I'll turn it over to Jane.",quarter,Jennifer Landis,Host,1,Introduction,Q1_2023,2023-04-14,Citigroup,transcript,"Jennifer Landis (Host)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Neutral
"Thank you, Jenn, hello to everyone joining us today. Well, 2023 is shaping up to be another interesting year, given the tumultuous events of the last few weeks. I am going to share some observations, and then we'll turn to what was a good quarter.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Positive
"First, our banking system as a whole is very strong. While a small handful of institutions still have challenges to overcome, the U.S. financial system remains unmatched globally. And I feel confident saying that as someone who has worked in many different systems around the world.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Positive
"The U.S. system comprises a healthy mix of community banks, regional banks and global banks including Citi. We all have important but different roles to play, serving different clients with different needs and on different scales. I would also point to the rapid response by state, federal and international regulators that helped reinforce confidence in the system at a critical juncture.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Positive
I am pleased that Citi has been a source of stability for the financial system and a source of strength for our clients. That’s not an accident.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Positive
"We are in a position to play this role because our strategy is delivering a simpler, more focused bank. We benefit from a diversified earnings base and resilient business model. This is reinforced by our robust balance sheet management, liquidity position and strong risk management frameworks. We are disciplined in how we run the firm, from client selection to capital planning.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Positive
And it is also thanks to our people. I want to express my pride in our colleagues around the world who have worked tirelessly last month to serve clients as they turned to Citi as a port in the storm.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Positive
Recent events have shown that prudent asset and liability management is absolutely paramount.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 1",internal,False,Positive
"While Mark is going to walk you through our approach and our focus on interest rate risk, liquidity, and capital, I do want to mention a few things.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 2",internal,False,Neutral
"In terms of assets, our loans are high-quality and short-duration. We have highly-liquid investment securities and a significant amount of cash.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 2",internal,False,Neutral
"We have over $1 trillion of available liquidity resources, including $584 billion of HQLA and an LCR of 120%. And we maintain a diverse set of funding sources, including over $1.3 trillion of deposits across corporates, consumers, industries, and regions, many of which are operational in nature.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 2",internal,False,Neutral
