caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Quarterly Operating Leverage,"The quarterly operating leverage, calculated as year-over-year revenue growth minus expense growth, was positive but volatile from 1Q15 to 3Q23. It peaked at 29% in 4Q15 and was 0% in 3Q23, as both revenue and noninterest expense grew by 3% YoY.",quarter,6,Financial Results,Q3_2023,2023-10-17
Total Corporation ($B),"Total deposits for the corporation increased slightly from $1,877B at the end of June 2023 to $1,885B at the end of September 2023. This was driven by a rise in interest-bearing deposits, which offset a decline in noninterest-bearing deposits. The rate paid on total deposits was 155 bps in 3Q23.",quarter,7,Financial Results,Q3_2023,2023-10-17
Consumer Banking ($B),"Consumer banking deposits decreased from $1,004B at the end of June 2023 to $982B at the end of September 2023, with declines in both 'Other non-checking' and 'Consumer investments & CDs'. The rate paid on these deposits was 34 bps in 3Q23.",quarter,7,Financial Results,Q3_2023,2023-10-17
GWIM ($B),Global Wealth & Investment Management (GWIM) deposits saw a slight decline from $293B to $291B between the end of June and September 2023. A decrease in sweep deposits was partially offset by an increase in bank deposits. The rate paid was 269 bps in 3Q23.,quarter,7,Financial Results,Q3_2023,2023-10-17
Global Banking ($B),Global Banking deposits rose from $493B to $495B between the end of June and September 2023. An increase in interest-bearing deposits more than compensated for a drop in noninterest-bearing deposits. The rate paid was 266 bps in 3Q23.,quarter,7,Financial Results,Q3_2023,2023-10-17
Risk Weighted Assets (RWA),"Actual Risk Weighted Assets (RWA) in 3Q23 stood at $1.63 trillion. Under the proposed capital rules, a ~20% inflation in RWA would increase this figure to $1.95 trillion.",quarter,8,Financial Results,Q3_2023,2023-10-17
"10% Minimum CET1 Capital at Jan 1, 2024","The 3Q23 minimum CET1 capital requirement was $163 billion. With a ~20% inflation factor, this minimum would rise to $195 billion, which is only slightly below the actual 3Q23 capital of $194 billion, indicating a reduced buffer under the proposed rules.",quarter,8,Financial Results,Q3_2023,2023-10-17
Organic Capital Generation ($B),"Organic capital generation has remained strong and relatively stable, ranging from $6.2B to $8.2B per quarter between 3Q21 and 3Q23. In 3Q23, it was $7.8B, comprising $1.9B in common dividends and $5.9B in net income less common dividends paid.",quarter,8,Financial Results,Q3_2023,2023-10-17
S&T Revenue (ex. DVA) by Product,"The revenue from Sales & Trading (S&T) is diversified across Equities and Fixed Income, Currencies, and Commodities (FICC), with FICC further broken down into Macro and Micro products. FICC products represent the majority of S&T revenue.",quarter,9,Financial Results,Q3_2023,2023-10-17
Average Assets and S&T Revenue Growth,"Compared to the 2016-2019 average, average assets and S&T revenue (ex. DVA) in the last 12 months have expanded significantly, by 35% and 32% respectively.",quarter,9,Financial Results,Q3_2023,2023-10-17
RWA and S&T Revenue per $ RWA Growth,"Risk-Weighted Assets (RWA) in the last 12 months have increased by 16% compared to the 2016-2019 average, while S&T Revenue per dollar of RWA has grown by 14% over the same period, indicating improved efficiency.",quarter,9,Financial Results,Q3_2023,2023-10-17
GM Revenue (ex. DVA) by Geography,"The majority of Global Markets (GM) revenue (excluding DVA) is generated from the US and Canada region, with a smaller portion coming from international operations.",quarter,9,Financial Results,Q3_2023,2023-10-17
Return on Avg. Allocated Capital,"The return on average allocated capital has been consistent. For Global Markets (GM), it was 12% in 2023 YTD. When combined with Global Banking (GB), the return was 17% in 2023 YTD, up from 14% in 2022.",quarter,9,Financial Results,Q3_2023,2023-10-17
S&T Revenue (ex. DVA) YoY Growth,"Year-over-year growth in S&T revenue (ex. DVA) has fluctuated, showing strong growth of 27% in 3Q22, and moderating to 8% in 3Q23 after a dip in 2Q23.",quarter,9,Financial Results,Q3_2023,2023-10-17
Total Loans and Leases ($B),"Total average loans and leases remained relatively stable over the past year, with a slight increase of 1% year-over-year to $1,046 billion in 3Q23.",quarter,12,Financial Results,Q3_2023,2023-10-17
Total Loans and Leases by Portfolio ($B),"The loan portfolio shows a mix of consumer and commercial loans. From 3Q22 to 3Q23, consumer loans grew from $449B to $457B, while commercial loans remained relatively flat, moving from $585B to $589B.",quarter,12,Financial Results,Q3_2023,2023-10-17
Loans and Leases in Business Segments ($B),"Loan balances across business segments showed mixed trends year-over-year in 3Q23. Consumer Banking grew by 5% and Global Markets by 9%, while GWIM and Global Banking saw modest declines of 2% each.",quarter,12,Financial Results,Q3_2023,2023-10-17
Total Loans and Leases in All Other ($B),"Loans in the 'All Other' category, primarily residential mortgages and home equity, declined by 11% year-over-year, from $11 billion in 3Q22 to $9 billion in 3Q23.",quarter,12,Financial Results,Q3_2023,2023-10-17
Total Corporation ($B),"Total average deposits decreased from $1,963B in 3Q22 to $1,876B in 3Q23, and were flat quarter-over-quarter. There has been a shift from noninterest-bearing deposits (down 5% QoQ) to interest-bearing deposits (up 3% QoQ).",quarter,13,Financial Results,Q3_2023,2023-10-17
Consumer Banking ($B),"Average deposits in Consumer Banking declined to $980B in 3Q23 from $1,047B in 3Q22, a 3% decrease quarter-over-quarter, with both checking and non-checking balances falling.",quarter,13,Financial Results,Q3_2023,2023-10-17
GWIM ($B),"Average deposits in Global Wealth & Investment Management (GWIM) decreased to $292B in 3Q23 from $339B in 3Q22, a 1% decline quarter-over-quarter, driven by a 10% QoQ drop in sweep deposits.",quarter,13,Financial Results,Q3_2023,2023-10-17
Global Banking ($B),"Average deposits in Global Banking increased to $504B in 3Q23 from $503B in 3Q22, up 1% quarter-over-quarter. This was driven by a 9% QoQ increase in interest-bearing deposits, offsetting a 9% decline in noninterest-bearing deposits.",quarter,13,Financial Results,Q3_2023,2023-10-17
"Deposits in Excess of Loans (EOP, $B)","The level of deposits in excess of loans grew significantly from $420B in 3Q19 to a peak of $1,085B in 3Q22, before declining to $835B in 3Q23. This indicates a substantial increase in liquidity on the balance sheet since the pandemic.",quarter,14,Financial Results,Q3_2023,2023-10-17
Cash and Securities Portfolios ($B),"The composition of the cash and securities portfolio has shifted. While the total portfolio size has decreased from its peak in 3Q21, cash and cash equivalents have increased to $352B in 3Q23, while held-to-maturity (HTM) securities have declined to $603B from a high of $683B in 3Q21. The valuation on HTM securities was negative $131B in 3Q23.",quarter,14,Financial Results,Q3_2023,2023-10-17
Cash & Securities Yield vs. Deposit Rate Paid,"The spread between the cash & securities yield and the total deposit rate paid has widened considerably. In 3Q23, the yield on cash and securities rose to 3.34%, while the total deposit rate paid increased to 1.55%, creating a positive spread of 1.79%.",quarter,14,Financial Results,Q3_2023,2023-10-17
"Net Interest Income (FTE, $B)","Net interest income (GAAP) was $14.4B in 3Q23, showing an increase from $13.8B in 3Q22 but a slight decrease from the $14.7B peak in 1Q23. The fully taxable-equivalent (FTE) NII was slightly higher at $14.5B in 3Q23.",quarter,15,Financial Results,Q3_2023,2023-10-17
Net Interest Yield (FTE),"The reported net interest yield has trended upwards, increasing from 2.06% in 3Q22 to 2.11% in 3Q23. The net interest yield excluding Global Markets (GM) has also risen, from 2.51% in 3Q22 to 2.64% in 3Q23, consistently staying above the reported yield.",quarter,15,Financial Results,Q3_2023,2023-10-17
"Net Interest Income excl. GM (FTE, $B)","Net interest income excluding Global Markets (NII excl. GM) was $13.9B in 3Q23, down from a peak of $14.5B in 1Q23. GM NII contributed $0.7B in 3Q23, up from $0.4B in 3Q22.",quarter,15,Financial Results,Q3_2023,2023-10-17
Total Noninterest Expense ($B),"Total noninterest expense was $15.8B in 3Q23, a decrease from $16.0B in 2Q23 but an increase from $15.3B in 3Q22. Expenses are split between compensation and benefits ($6.3B) and other expenses ($9.6B).",quarter,16,Financial Results,Q3_2023,2023-10-17
Efficiency Ratio,"The efficiency ratio has remained relatively stable, fluctuating between 62% and 64% over the last five quarters. In 3Q23, the efficiency ratio was 63%.",quarter,16,Financial Results,Q3_2023,2023-10-17
Headcount (K),"Total headcount decreased from 218,000 at the end of 3Q22 to 213,000 at the end of 3Q23. The chart shows a peak during the summer due to interns, followed by a decline and then an increase from campus hires.",quarter,16,Financial Results,Q3_2023,2023-10-17
Net Charge-offs ($MM) and Net charge-off ratio,"Net charge-offs have shown a consistent upward trend, rising from $520MM in 3Q22 to $931MM in 3Q23. Similarly, the net charge-off ratio has increased from 0.20% to 0.35% over the same period, indicating a normalization of credit quality.",quarter,17,Financial Results,Q3_2023,2023-10-17
Provision for Credit Losses ($MM),"The provision for credit losses has fluctuated over the last five quarters, increasing from $898MM in 3Q22 to $1,234MM in 3Q23, with a notable dip to $931MM in 1Q23.",quarter,17,Financial Results,Q3_2023,2023-10-17
Consumer Net Charge-offs ($MM),"Consumer net charge-offs have steadily increased from $459MM in 3Q22 to $804MM in 3Q23. The consumer net charge-off ratio also rose from 0.41% to 0.70% during the same period, primarily driven by credit card losses.",quarter,18,Financial Results,Q3_2023,2023-10-17
Commercial Net Charge-offs ($MM),"Commercial net charge-offs peaked at $158MM in 4Q22 and have since declined to $127MM in 3Q23. The commercial net charge-off ratio followed a similar pattern, peaking at 0.11% in 4Q22 and 1Q23 before falling to 0.09% in 3Q23.",quarter,18,Financial Results,Q3_2023,2023-10-17
Total Revenue ($B),"Total revenue for Consumer Banking has been relatively stable, ranging from $9.9B in 3Q22 to a peak of $10.8B in 4Q22, and settling at $10.5B in 3Q23. Net interest income constitutes the majority of the revenue.",quarter,25,Financial Results,Q3_2023,2023-10-17
Total Expense ($B) and Efficiency,"Total expenses have remained consistent, around $5.1B to $5.5B over the past five quarters. The efficiency ratio has improved from 51% in 3Q22 to 50% in 3Q23, after peaking at 52% in 2Q23.",quarter,25,Financial Results,Q3_2023,2023-10-17
Average Deposits ($B),"Average deposits have seen a steady decline from $1,069B in 3Q22 to $980B in 3Q23. The decrease is observed in both checking and other deposit categories.",quarter,25,Financial Results,Q3_2023,2023-10-17
Average Loans and Leases ($B),"Average loans and leases have shown consistent growth, increasing from $295B in 3Q22 to $311B in 3Q23, driven by growth in consumer credit cards and vehicle lending.",quarter,25,Financial Results,Q3_2023,2023-10-17
Consumer Investment Assets ($B) and Accounts (MM),Consumer investment assets have grown significantly from $302B in 3Q22 to $387B in 3Q23. The number of accounts has also increased steadily from 3.4 million to 3.8 million over the same period.,quarter,25,Financial Results,Q3_2023,2023-10-17
Digital Users and Households,"Digital user engagement has steadily increased from 3Q20 to 3Q23. Active users grew from 39 million to 46 million, and verified users increased from 52 million to 57 million. Household adoption of digital banking rose from 69% to 74%.",quarter,26,Financial Results,Q3_2023,2023-10-17
Digital Channel Usage,"Digital channel usage, measured by desktop and mobile sessions, has grown from 2,259 million in 3Q20 to 3,244 million in 3Q23. Digital appointments have also increased significantly from 688,000 to 938,000 in the same period.",quarter,26,Financial Results,Q3_2023,2023-10-17
Digital Sales,"Digital unit sales have grown from 1,074,000 in 3Q21 to 1,503,000 in 3Q23, after peaking at 1,855,000 in 3Q22. The percentage of total sales conducted digitally has remained high, at 46% in 3Q23.",quarter,26,Financial Results,Q3_2023,2023-10-17
Erica Active Users and Interactions (MM),"Engagement with the AI assistant Erica has surged. Active users grew from 6.1 million in 3Q20 to 18.7 million in 3Q23, while interactions rocketed from 34.3 million to 169.6 million over the same period.",quarter,26,Financial Results,Q3_2023,2023-10-17
Person-to-Person Payments (Zelle),"Zelle usage has shown strong growth. The number of transactions increased from 140 million in 3Q20 to 323 million in 3Q23, with the corresponding volume growing from $39B to $97B. Active Zelle users grew from 12.2 million to 21.0 million.",quarter,26,Financial Results,Q3_2023,2023-10-17
Checks vs. Zelle Sent Transactions (MM),"Zelle transactions have surpassed checks written. In 3Q23, Zelle sent transactions were 208 million, which is double the 104 million checks written, highlighting a significant shift in payment behavior.",quarter,26,Financial Results,Q3_2023,2023-10-17
