Bank,Date,Close,Currency,GlobalBankIndex
Bank of America,2022-01-03,42.16424560546875,USD,952.260009765625
Bank of America,2022-01-04,43.81685256958008,USD,981.2999877929688
Bank of America,2022-01-05,43.07728958129883,USD,984.260009765625
Bank of America,2022-01-06,43.944679260253906,USD,992.1099853515625
Bank of America,2022-01-07,44.90336608886719,USD,1007.9199829101562
Bank of America,2022-01-10,44.675106048583984,USD,1011.77001953125
Bank of America,2022-01-11,44.93075942993164,USD,1019.3400268554688
Bank of America,2022-01-12,44.611202239990234,USD,1025.3800048828125
Bank of America,2022-01-13,44.519893646240234,USD,1037.449951171875
Bank of America,2022-01-14,43.743804931640625,USD,1032.3599853515625
Bank of America,2022-01-18,42.23728561401367,USD,1013.7899780273438
Bank of America,2022-01-19,42.401634216308594,USD,1002.0399780273438
Bank of America,2022-01-20,41.77164077758789,USD,1002.0800170898438
Bank of America,2022-01-21,41.01380920410156,USD,986.47998046875
Bank of America,2022-01-24,40.675987243652344,USD,968.4400024414062
Bank of America,2022-01-25,41.479469299316406,USD,977.5399780273438
Bank of America,2022-01-26,41.908592224121094,USD,992.219970703125
Bank of America,2022-01-27,41.515987396240234,USD,991.3400268554688
Bank of America,2022-01-28,41.881202697753906,USD,989.4299926757812
Bank of America,2022-01-31,42.12771987915039,USD,994.8300170898438
Bank of America,2022-02-01,42.85816192626953,USD,1016.0599975585938
Bank of America,2022-02-02,42.812503814697266,USD,1025.02001953125
Bank of America,2022-02-03,42.39250183105469,USD,1028.1500244140625
Bank of America,2022-02-04,44.08163070678711,USD,1034.5999755859375
Bank of America,2022-02-07,44.29163360595703,USD,1048.699951171875
Bank of America,2022-02-08,45.085975646972656,USD,1063.6500244140625
Bank of America,2022-02-09,44.99467468261719,USD,1069.489990234375
Bank of America,2022-02-10,44.784671783447266,USD,1070.0899658203125
Bank of America,2022-02-11,43.752933502197266,USD,1060.550048828125
Bank of America,2022-02-14,43.29642105102539,USD,1036.68994140625
Bank of America,2022-02-15,43.63424301147461,USD,1039.6400146484375
Bank of America,2022-02-16,43.533809661865234,USD,1038.9200439453125
Bank of America,2022-02-17,42.06380844116211,USD,1019.97998046875
Bank of America,2022-02-18,41.96337127685547,USD,1014.7999877929688
Bank of America,2022-02-22,41.598167419433594,USD,1003.4199829101562
Bank of America,2022-02-23,40.885982513427734,USD,992.2999877929688
Bank of America,2022-02-24,39.808597564697266,USD,935.510009765625
Bank of America,2022-02-25,41.10512161254883,USD,962.6799926757812
Bank of America,2022-02-28,40.3564338684082,USD,936.52001953125
Bank of America,2022-03-01,38.776859283447266,USD,898.7000122070312
Bank of America,2022-03-02,39.4068603515625,USD,905.0900268554688
Bank of America,2022-03-03,38.98480987548828,USD,899.260009765625
Bank of America,2022-03-04,37.571842193603516,USD,861.1699829101562
Bank of America,2022-03-07,35.17716598510742,USD,833.3400268554688
Bank of America,2022-03-08,35.406524658203125,USD,835.27001953125
Bank of America,2022-03-09,37.65442657470703,USD,873.5700073242188
Bank of America,2022-03-10,37.314945220947266,USD,865.9400024414062
Bank of America,2022-03-11,37.00299835205078,USD,863.0700073242188
Bank of America,2022-03-14,37.801231384277344,USD,877.1599731445312
Bank of America,2022-03-15,38.076473236083984,USD,873.6099853515625
Bank of America,2022-03-16,39.26923370361328,USD,903.219970703125
Bank of America,2022-03-17,39.480255126953125,USD,913.8699951171875
Bank of America,2022-03-18,39.360984802246094,USD,914.6199951171875
Bank of America,2022-03-21,39.305931091308594,USD,911.989990234375
Bank of America,2022-03-22,40.53539276123047,USD,929.1799926757812
Bank of America,2022-03-23,39.53530502319336,USD,916.0599975585938
Bank of America,2022-03-24,39.5169563293457,USD,913.4400024414062
Bank of America,2022-03-25,40.122520446777344,USD,915.8200073242188
Bank of America,2022-03-28,39.957366943359375,USD,909.469970703125
Bank of America,2022-03-29,39.8564338684082,USD,930.8499755859375
Bank of America,2022-03-30,39.45274353027344,USD,921.4199829101562
Bank of America,2022-03-31,37.819580078125,USD,904.1900024414062
Bank of America,2022-04-01,37.52598190307617,USD,903.0999755859375
Bank of America,2022-04-04,37.461753845214844,USD,903.280029296875
Bank of America,2022-04-05,36.82867431640625,USD,889.25
Bank of America,2022-04-06,36.424964904785156,USD,873.52001953125
Bank of America,2022-04-07,36.14053726196289,USD,866.2000122070312
Bank of America,2022-04-08,36.397438049316406,USD,876.8599853515625
Bank of America,2022-04-11,36.32404327392578,USD,880.9500122070312
Bank of America,2022-04-12,35.93868637084961,USD,867.7999877929688
Bank of America,2022-04-13,35.61756134033203,USD,866.3499755859375
Bank of America,2022-04-14,34.47067642211914,USD,862.5599975585938
Bank of America,2022-04-18,35.64508819580078,USD,865.5
Bank of America,2022-04-19,36.30569839477539,USD,868.0999755859375
Bank of America,2022-04-20,36.388275146484375,USD,881.9199829101562
Bank of America,2022-04-21,35.700138092041016,USD,879.2000122070312
Bank of America,2022-04-22,34.46150588989258,USD,856.1400146484375
Bank of America,2022-04-25,34.21377944946289,USD,839.6500244140625
Bank of America,2022-04-26,33.443077087402344,USD,821.239990234375
Bank of America,2022-04-27,33.259578704833984,USD,809.7000122070312
Bank of America,2022-04-28,33.773372650146484,USD,821.75
