text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Bank of America (BAC) Q1 2024 Earnings Call 
Transcript",quarter,Other,Other,1,Introduction,Q1_2024,2024-04-16
"BAC earnings call for the period ending March 31, 2024.",quarter,Other,Other,1,Introduction,Q1_2024,2024-04-16
"Good day, everyone, and welcome to the Bank of America earnings announcement. [Operator instructions] Please note, this call may be recorded. [Operator instructions] It is my pleasure to turn the conference over to Lee McEntire of Bank of America.",quarter,Operator,Host,1,Introduction,Q1_2024,2024-04-16
"Good morning. Thank you, Leo. Welcome, and thank you for joining the call to review our first-quarter results. Our earnings release documents are available on the Investor Relations section of the bankofamerica.com website, and that includes the earnings presentation that we will be referring to during the call.",quarter,Lee McEntire,Other,1,Introduction,Q1_2024,2024-04-16
"I trust that everyone's had a chance to review the documents. I'm going to first turn the call over to our CEO, Brian Moynihan, for some opening comments before Alastair Borthwick, our CFO, discusses the details of the quarter.",quarter,Lee McEntire,Other,1,Introduction,Q1_2024,2024-04-16
"Before they begin, let me just remind you, we may make forward-looking statements and refer to non-GAAP financial measures during the call.",quarter,Lee McEntire,Other,1,Disclaimer,Q1_2024,2024-04-16
Forward-looking statements are based on management's current expectations and assumptions that are subject to risks and uncertainties.,quarter,Lee McEntire,Other,2,Disclaimer,Q1_2024,2024-04-16
"Factors that may cause our actual results to materially differ from expectations are detailed in our earnings materials, our SEC filings that are available on our website. Information about non-GAAP financial measures, including the reconciliations to U.S. GAAP, can also be found in our earnings materials that are available on the website. So with that, I'll turn the call over to you, Brian.",quarter,Lee McEntire,Other,2,Disclaimer,Q1_2024,2024-04-16
Thanks.,quarter,Lee McEntire,Other,2,Disclaimer,Q1_2024,2024-04-16
"Thank you, Lee, and good morning to all of you, and thank you for joining us. I am starting on Slide 2 of the earnings presentation. We once again delivered a strong set of results in Quarter 1. We reported net income of $6.7 billion after tax and EPS of $0.76.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2024,2024-04-16
"This included the additional expense accrual for the industry's special assessment by the FDIC to recover losses from the failures of Silicon Valley Bank and Signature Bank. This lowered our Quarter 1 EPS by $0.07. Excluding net expense, net income was $7.2 billion and EPS was $0.83 per share in Quarter 1. Alastair is going to walk you through the details of the quarter momentarily.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2024,2024-04-16
"But first, let me give you a few thoughts on our performance. We delivered good improvement in our fee-based business, driven both by continued organic growth and good market conditions. Investment banking saw a nice rebound this quarter. We delivered nearly $1.6 billion in investment banking fees and grew 35% from the first-quarter 2023.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2024,2024-04-16
"Matthew Koder and the team have done a great job delivering market share growth. In addition, our results reflect the benefits of investments beta, our middle-market investment banking teams and dual-coverage teams.",quarter,Brian Moynihan,CEO,2,Prepared remarks,Q1_2024,2024-04-16
Matthew has utilized his benefit and power wisely to grow our middle-market team from 15 bankers in 2018 across a dozen cities to more than 200 bankers in twice as many cities today. Both groups work with our commercial bankers and wealth management advisors in those cities to deliver for our clients.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
Investment in brokerage services revenue across Merrill and the Private Bank grew 11% year over year in Quarter 1 to nearly $3.6 billion. Continued investments in our advisor training programs and digital delivery for our clients as well as positive market helped us deliver strong revenue. Asset under management flows were $25 billion in the quarter.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
"Sales and trading, excluding DVA, delivered its eighth consecutive quarter of year over year revenue improvement.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
"At $5.2 billion, this is the highest first-quarter result in over a decade. We have allocated more balance sheet invested in talent to build on our strengths for the last five years in this business. Those investments, plus the intensity of the teams under Jimmy DeMare's leadership has resulted in good momentum and market share improvement.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
"From a balance sheet perspective, we entered the quarter expecting modest loss in loan growth and a decline in deposits, those were our expectations.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
"What we actually delivered was growth in any deposits of more than $20 billion. Ending loans were down modestly due to the expected credit card seasonality. Otherwise, loans are pretty stable. This balance sheet performance, along with our continued pricing discipline, allowed us to deliver better-than-expected NII performance.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
"We told you last quarter that we expected NII to decline from the fourth quarter of 2023 to the first quarter of 2024, a decline about $100 million to $200 million. We actually reported today NII of $14.2 billion. That was $100 million higher than Quarter 4, exceeding our guidance.",quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
We continue to deliver strong expense management.,quarter,Brian Moynihan,CEO,3,Prepared remarks,Q1_2024,2024-04-16
"Year-over-year expenses, adjusted for the FDIC assessment, was up a little less than 2%. That compares to a 4%-plus inflation rate. We also continue to invest in our company while managing those expenses. We had several categories of stronger fee-based revenue in the first quarter this year.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q1_2024,2024-04-16
This drove higher formulaic compensation and processing costs of the increased activity. Fees and commissions were up 10% year over year. We are happy to pay for that revenue and deliver warnings to the bottom line because of it. So how did we do all that and hold expenses under the inflation rate?,quarter,Brian Moynihan,CEO,4,Prepared remarks,Q1_2024,2024-04-16
"Well, we remain focused on three primary drivers of Bank of America.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q1_2024,2024-04-16
"First, our operational excellence platform continues to deliver and improve processes. These savings from that growth helped fund the future growth in the company and lower the risk. Second, we managed head count as we eliminated work. Recall, we noted the expectation in January of last year that our head count will be down throughout the year.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q1_2024,2024-04-16
"Our head count at the end of first-quarter 2024 is down by more than 4,700 people from the first-quarter 2023. It declined 650 people just for the end of 2023. The digitization activity is also driving ongoing expense cost savings, customer retention, and market share improvement, driving across all three factors. It also then supports the ever-increasing volumes of client activity with little increased cost.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q1_2024,2024-04-16
I would highlight our continued capital strength with common equity Tier 1 capital of $197 billion. That amount of capital is $31 billion over the current regulatory minimums for our company. That capital has allowed us to both support our clients and returned $4.4 billion to shareholders this quarter and share repurchases and dividends. Let me highlight a few points on organic growth before I pass over to Alastair.,quarter,Brian Moynihan,CEO,4,Prepared remarks,Q1_2024,2024-04-16
"Now I'm turning to Slide 3. You can see Slide 3, the highlights of the Quarter 1 success for organic activity across the businesses. We continue to invest and enhance our digital platforms. We provide our customers with convenient and secure banking experiences.",quarter,Brian Moynihan,CEO,4,Prepared remarks,Q1_2024,2024-04-16
"By leveraging our technology and continuous investment in that technology and putting customers at the center of everything we do, we have successfully deepened our relationships and expanded our customer base across all our businesses. In consumer, we added 245,000 net new checking accounts this quarter. This completes 21 straight quarters of net additions. Dean Athanasia, Aron Levine, and Holly O'Neill helped drive that business for us and continue to perform well, driving strong performance across our consumer franchise.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q1_2024,2024-04-16
"These checking balances continue to drive the performance of our consumer deposits. These checking additions are important for many other reasons. On average, 68% of our deposit balances have been with us for more than 10 years.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q1_2024,2024-04-16
"92% of the customer checking accounts are primary checking accounts in the household, meaning that they're the core operating account for the household for their financial lives.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q1_2024,2024-04-16
"So when we onboard a client, we start a long-term valuable relationship. About 60% of our checking accounts customers use a debit card, and in average they do about 400 transactions per year on that card.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q1_2024,2024-04-16
"The new checking accounts have traditionally opened savings accounts, about 25% of the time within a few months of opening that checking account. And opening a new checking account on average brings about $4,000 in balances below our averages.",quarter,Brian Moynihan,CEO,5,Prepared remarks,Q1_2024,2024-04-16
