row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Revenues,1,,Decreased by 1% vs 2Q22.,19.4,,,,,,billion USD,2,Financial Results,Q2_2023,2023-07-14
Net Income,2,,Decreased by 36% vs 2Q22.,2.9,,,,,,billion USD,2,Financial Results,Q2_2023,2023-07-14
EPS,3,,Decreased by 39% vs 2Q22.,1.33,,,,,,USD,2,Financial Results,Q2_2023,2023-07-14
RoTCE,4,,Decreased from 11.2% in 2Q22.,6.4,,11.2,,,,%,2,Financial Results,Q2_2023,2023-07-14
CET1 Capital Ratio,5,,Increased from 12.0% in 2Q22.,13.3,,12.0,,,,%,2,Financial Results,Q2_2023,2023-07-14
Tangible Book Value Per Share,6,,Increased by 6% vs 2Q22.,85.34,,,,,,USD,2,Financial Results,Q2_2023,2023-07-14
Net Interest Income,1,Increased by 4% from 1Q23.,Increased by 16% from 2Q22.,13900.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Non-Interest Revenue,2,Decreased by 32% from 1Q23.,Decreased by 28% from 2Q22.,5536.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Total Revenues,3,Decreased by 9% from 1Q23.,Decreased by 1% from 2Q22.,19436.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Expenses,4,Increased by 2% from 1Q23.,Increased by 9% from 2Q22.,13570.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
NCLs,5,Increased by 16% from 1Q23.,Increased by 77% from 2Q22.,1504.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
ACL Build and Other,6,Decreased by 52% from 1Q23.,Decreased by 25% from 2Q22.,320.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Credit Costs,7,Decreased by 8% from 1Q23.,Increased by 43% from 2Q22.,1824.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
EBT,8,Decreased by 35% from 1Q23.,Decreased by 32% from 2Q22.,4042.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Income Taxes,9,Decreased by 29% from 1Q23.,Decreased by 8% from 2Q22.,1090.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Net Income,10,Decreased by 37% from 1Q23.,Decreased by 36% from 2Q22.,2915.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Net Income to Common,11,Decreased by 39% from 1Q23.,Decreased by 39% from 2Q22.,2627.0,,,,,,MM USD,4,Financial Results,Q2_2023,2023-07-14
Diluted EPS,12,Decreased by 39% from 1Q23.,Decreased by 39% from 2Q22.,1.33,,,,,,USD,4,Financial Results,Q2_2023,2023-07-14
Efficiency Ratio (Δ in bps),13,,,70.0,,,,,,%,4,Financial Results,Q2_2023,2023-07-14
ROE,14,,,5.6,,,,,,%,4,Financial Results,Q2_2023,2023-07-14
RoTCE,15,,,6.4,,,,,,%,4,Financial Results,Q2_2023,2023-07-14
CET1 Capital Ratio,16,,,13.3,,,,,,%,4,Financial Results,Q2_2023,2023-07-14
US Cards NCLs ($B),1,,NCLs decreased from $1.4B in CECL Day 1 to $1.2B in 2Q23.,1.2,,1.4,,,,B USD,7,Financial Results,Q2_2023,2023-07-14
US Cards % of Avg Loans,2,,Decreased from 3.8% on CECL Day 1 to 3.1% in 2Q23.,3.1,,3.8,,,,%,7,Financial Results,Q2_2023,2023-07-14
US Cards 90+ DPD,3,,Decreased from 1.3% on CECL Day 1 to 1.1% in 2Q23.,1.1,,1.3,,,,%,7,Financial Results,Q2_2023,2023-07-14
US Cards ACLL / Funded Loans,4,,Increased from 7.5% on CECL Day 1 to 7.9% in 2Q23.,7.9,,7.5,,,,%,7,Financial Results,Q2_2023,2023-07-14
Corporate NCLs ($B),1,,NCLs decreased from $0.1B on CECL Day 1 to $0.0B in 2Q23.,0.0,,0.1,,,,B USD,7,Financial Results,Q2_2023,2023-07-14
Corporate % of Avg Loans,2,,"Value for 2Q23 is Not Meaningful (NM), compared to 0.1% on CECL Day 1.",,,0.1,,,,%,7,Financial Results,Q2_2023,2023-07-14
