caption,trend_summary,comparison_scope,page,section,reporting_period,date_of_presentation
Revenues by Segment and Corp / Other,"Total revenues increased by 9% YoY, from $18.5B in 3Q22 to $20.1B in 3Q23. Growth was driven by ICG (+12%), PBWM (+10%), and Corp/Other (+67%), while Legacy Franchises revenues declined by 13%.",quarter,4,Financial Results,Q3_2023,2023-10-13
3Q23 QoQ and YoY Expenses,"Total expenses were $13.5B in 3Q23, a slight decrease from $13.6B in 2Q23 but an increase from $12.7B in 3Q22. The year-over-year increase was driven by spending in ICG, PBWM, and Corp/Other, which rose from $10.9B in 3Q22 to $11.7B in 3Q23.",quarter,5,Financial Results,Q3_2023,2023-10-13
Net Interest Income,"Net Interest Income was $13.83 billion in 3Q23, a slight decrease from $13.90 billion in 2Q23 but an increase from $12.56 billion in 3Q22. Citigroup's Net Interest Margin (NIM) has steadily increased from 2.31% in 3Q22 to 2.49% in 3Q23.",quarter,6,Financial Results,Q3_2023,2023-10-13
Average Loans,"Total average loans increased 1% QoQ and 1% YoY to $662 billion in 3Q23. PBWM loans grew 7% YoY to $347 billion, while ICG and Legacy Franchises loans decreased.",quarter,6,Financial Results,Q3_2023,2023-10-13
Average Deposits,"Total average deposits decreased 2% QoQ and 2% YoY to $1,315 billion in 3Q23. Declines were seen across both PBWM and ICG segments, while Legacy Franchises/Corp/Other saw an increase.",quarter,6,Financial Results,Q3_2023,2023-10-13
US Cards Loans by Segment and FICO Score,"Total EOP Card Loans are $156B. By segment, Branded Cards constitute 68% and Retail Services 32%. By FICO score, 80% of the portfolio is Prime (≥680).",quarter,7,Financial Results,Q3_2023,2023-10-13
Corporate Lending Exposure by Region and Grade,"Total EOP Loans are $289B and Total Exposure is $703B. By region, North America represents the largest exposure at 56%. By rating, ~85% of the portfolio is investment grade.",quarter,7,Financial Results,Q3_2023,2023-10-13
End of Period Assets,"Total End of Period Assets slightly decreased by 1% YoY to $2,368B in 3Q23. Cash decreased by 15% YoY to $254B, while Loans (net) and Trading-Related Assets increased by 3% YoY to $666B and $808B respectively.",quarter,8,Financial Results,Q3_2023,2023-10-13
End of Period Liabilities and Equity,"Total End of Period Liabilities and Equity decreased by 1% YoY to $2,368B in 3Q23. PBWM and ICG deposits saw slight YoY declines of 3% and 2% respectively, while Equity grew by 6%.",quarter,8,Financial Results,Q3_2023,2023-10-13
3Q23 QoQ Standardized CET1 Ratio Walk,"The Standardized CET1 Ratio increased from 13.4% in 2Q23 to 13.5% in 3Q23. The change was driven by a +28bps contribution from Net Income to Common, a -13bps impact from Capital Distribution, and a +2bps impact from RWA, DTA, and Other factors.",quarter,9,Financial Results,Q3_2023,2023-10-13
CET1 Standardized Regulatory Requirement and Target,"Citi's actual CET1 ratio of 13.5% in 3Q23 exceeds the current effective regulatory requirement of 12.3%. This requirement is composed of a 4.5% Regulatory Minimum, a 3.5% G-SIB Surcharge, and a 4.3% Stress Capital Buffer. The actual ratio includes a 1.2% management buffer and excess capital.",quarter,9,Financial Results,Q3_2023,2023-10-13
Revenues by Reporting Unit,"ICG revenues grew 12% year-over-year to $10.6B in 3Q23 from $9.5B in 3Q22. All reporting units contributed to this growth: Services revenues increased by 13% to $4.7B, Markets revenues by 10% to $4.5B, and Banking revenues by 18% to $1.4B.",quarter,10,Financial Results,Q3_2023,2023-10-13
Revenues by Reporting Unit,"Total PBWM revenues increased 10% YoY to $6.8 billion in 3Q23. US Personal Banking revenues grew 13% to $4.9 billion, and Global Wealth Management revenues grew 2% to $1.9 billion.",quarter,12,Financial Results,Q3_2023,2023-10-13
Revenues by Reporting Unit,"Total Legacy Franchise revenues decreased by 13% YoY to $2.2B in 3Q23 from $2.6B in 3Q22. Mexico revenues grew 32% to $1.6B, while Asia Consumer revenues declined by 51% to $0.7B.",quarter,14,Financial Results,Q3_2023,2023-10-13
ICG Loan Portfolio ($280B EOP),"Geographically, ICG loans are concentrated in North America (44%) and Developed EMEA (20%). By composition, Banking (64%) and Services (30%) are the largest components, with Industrials (21%), TMT (10%), and Consumer Retail (12%) being significant industry exposures.",quarter,23,Financial Results,Q3_2023,2023-10-13
PBWM Loan Portfolio ($349B EOP),"Geographically, PBWM loans are dominated by North America (86%). By composition, Cards (46%), Mortgages (22%), and Personal/Small Business (3%) are the main products, with Private Bank loans making up 29%.",quarter,23,Financial Results,Q3_2023,2023-10-13
Legacy Franchises Loan Portfolio ($37B EOP),"Geographically, Legacy Franchise loans are heavily weighted towards Mexico (71%). By composition, Personal/Small Business/Other (51%), Cards (25%), and Mortgages (24%) are the primary loan types.",quarter,23,Financial Results,Q3_2023,2023-10-13
Credit Trends for Branded Cards,"For Branded Cards, the Net Credit Loss (NCL) rate has trended up from 1.33% in 3Q21 to 2.72% in 3Q23, while remaining below the pre-Covid normalized rate of 3.00-3.25%. 90+ DPD has also risen from 0.44% to 0.92% over the same period. ACLL / EOP Loans has remained relatively stable, ending at 6.3% in 3Q23.",quarter,24,Financial Results,Q3_2023,2023-10-13
Credit Trends for Retail Services,"For Retail Services, the NCL rate has increased from 2.23% in 3Q21 to 4.53% in 3Q23, approaching the lower end of the pre-Covid normalized rate of 5.00-5.50%. 90+ DPD has also increased from 0.99% to 2.12%. ACLL / EOP Loans has risen from 11.5% to 11.0% after a dip, with the ACLL balance growing to $5.6B.",quarter,24,Financial Results,Q3_2023,2023-10-13
3Q23 Liabilities & Equity and Deposits by Business,"As of 3Q23, total liabilities and equity stand at $2,368B, with $1,274B in deposits. The deposit base is dominated by Treasury and Trade Solutions (TTS) at $643B, followed by Global Wealth Management (GWM) at $307B, and Securities Services (SS) at $114B.",quarter,25,Financial Results,Q3_2023,2023-10-13
ICG Deposits by Region,"ICG deposits are geographically diversified, with North America accounting for 47%, EMEA for 25%, and Asia for 22%.",quarter,25,Financial Results,Q3_2023,2023-10-13
