text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
This presentation covers the earnings results for the fourth quarter and full year of 2023.,both,1,Title,Q4_2023,2024-01-12
"Our Vision is to be the preeminent banking partner for institutions with cross-border needs, a global leader in wealth management, and a valued personal bank in our home market.",year,3,Vision,Q4_2023,2024-01-12
"The company is focused on delivering on its Investor Day priorities through four key elements: Transformation, Investment for Growth, Simplification, and Culture & Talent.",year,3,Vision,Q4_2023,2024-01-12
"Transformation efforts include relentless execution, regulatory remediation, modernizing infrastructure, and data enhancements.",year,3,Vision,Q4_2023,2024-01-12
"Growth investments are aimed at maximizing the global network, growing the Commercial Banking sector, scaling Wealth, and gaining share in Banking, Markets, and U.S. Personal Banking.",year,3,Vision,Q4_2023,2024-01-12
"Simplification strategy involves focusing on five core interconnected businesses, exiting 14 international consumer markets, and simplifying the organizational structure.",year,3,Vision,Q4_2023,2024-01-12
"The company aims to build a winning culture, invest in talent, and deliver 'One Citi'.",year,3,Vision,Q4_2023,2024-01-12
"The company is being run differently by aligning its organizational structure to its business strategy, eliminating multiple management layers, and bringing clients closer to the center.",year,4,Vision,Q4_2023,2024-01-12
A new client organization focused on 5 core businesses aims to drive top-line revenue growth and synergies.,year,4,Vision,Q4_2023,2024-01-12
"The new structure is designed to reduce duplicative governance, enable more efficient business operations by right-sizing the expense base, and increase accountability and transparency.",year,4,Vision,Q4_2023,2024-01-12
"The five core businesses are Services, Markets, Banking, Wealth, and U.S. Personal Banking (USPB).",year,4,Vision,Q4_2023,2024-01-12
"Services holds top rankings, including #1 in TTS and #1 in Direct Custody.",year,4,Vision,Q4_2023,2024-01-12
"Markets is ranked #3 overall, with Fixed Income at #2 and Equities at #6.",year,4,Vision,Q4_2023,2024-01-12
Banking is ranked #5 in Investment Banking.,year,4,Vision,Q4_2023,2024-01-12
Wealth's Private Bank is tied for the #5 rank.,year,4,Vision,Q4_2023,2024-01-12
USPB is ranked #2 in U.S. Cards and #1 in deposits per branch.,year,4,Vision,Q4_2023,2024-01-12
Returned approximately $6 billion in capital to common shareholders through dividends and share buybacks.,year,5,Financial Results,Q4_2023,2024-01-12
Services had a record year for TTS revenues and gained ~70bps of market share YoY in 3Q YTD.,both,5,Financial Results,Q4_2023,2024-01-12
Markets saw progress in Equities with prime balances up YoY.,year,5,Financial Results,Q4_2023,2024-01-12
"Banking grew its share in Investment Banking, with DCM wallet share up ~30bps.",year,5,Financial Results,Q4_2023,2024-01-12
Wealth's Client Investment Assets were up $55B YoY.,year,5,Financial Results,Q4_2023,2024-01-12
"USPB showed continued momentum in cards, with average loans up 13% YoY.",year,5,Financial Results,Q4_2023,2024-01-12
"In 'All Other', the company closed 4 remaining sales and made strong progress on wind-downs.",year,5,Financial Results,Q4_2023,2024-01-12
"Transformation progress in 2023 includes closing the FX Consent Order, retiring ~390 legacy applications, and automating processes for price verification and transaction controls.",year,6,Financial Results,Q4_2023,2024-01-12
"Strategic execution highlights include continued strength in Services (TTS #1), Markets remaining #2 in FICC, a 6th straight quarter of revenue growth in Cards, and stronger growth in Wealth in 4Q.",both,6,Financial Results,Q4_2023,2024-01-12
Progress on divestitures included closing all nine signed Asia divestitures with a ~$6B capital benefit and being on track to complete the Mexico separation in 2H 2024.,year,6,Financial Results,Q4_2023,2024-01-12
"Key organizational changes were announced to align structure with strategy and simplify decision making, with the program set to conclude in 1Q24.",year,6,Financial Results,Q4_2023,2024-01-12
"The company is executing with excellence across all priorities to unlock value through driving revenue growth, disciplined expense management, maintaining robust capital and liquidity, and improving returns over the medium-term.",year,6,Financial Results,Q4_2023,2024-01-12
"Revenues decreased (3)% YoY, driven by the Argentina devaluation impact, lower volatility in Markets, and a slow recovery in IB and Wealth.",quarter,7,Financial Results,Q4_2023,2024-01-12
"Expenses were up 23% YoY, primarily due to the FDIC special assessment and restructuring charges.",quarter,7,Financial Results,Q4_2023,2024-01-12
