text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Hello, and welcome to Citi's Third Quarter 2023 Earnings Review with the Chief Executive Officer, Jane Fraser; and Chief Financial Officer, Mark Mason. Today's call will be hosted by Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion of the formal remarks, at which time you will be given instructions for the question-and-answer session. Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect at this time.",quarter,Operator,Host,1,Introduction,Q3_2023,2023-10-13
"Ms. Landis, you may begin.",quarter,Operator,Host,1,Introduction,Q3_2023,2023-10-13
"Thank you, operator. Good morning and thank you all for joining us. I'd like to remind you that today's presentation, which is available for download on our website, citigroup.com, may contain forward-looking statements, which are based on management's current expectations and are subject to uncertainty and changes in circumstances. Actual results may differ materially from these statements due to a variety of factors, including those described in our earnings materials as well as in our SEC filings.",quarter,Jennifer Landis,Host,1,Disclaimer,Q3_2023,2023-10-13
"With that, I'll turn it over to Jane.",quarter,Jennifer Landis,Host,1,Disclaimer,Q3_2023,2023-10-13
"Thank you, Jenn, and good morning to everyone. I shall touch briefly on the macro environment before reviewing the quarter and last month's organization announcement.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2023,2023-10-13
"The global macro backdrop remains a story of de-synchronization. In the U.S., recent data implies a soft landing, but history would suggest otherwise. And we are seeing cracks in the lower FICO consumers.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2023,2023-10-13
"In the Euro-area and the UK, the picture has turned distinctly more negative. The summer weakness in industrial economies is spreading south. And the weight of structurally higher labor and energy costs suggest a more enduring competitiveness challenge for that region.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2023,2023-10-13
"China’s economy may have reached a cyclical bottom, supported by the government’s modest stimulus efforts, but it still has to work through weak sentiment, youth unemployment and the pain in its property market.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2023,2023-10-13
All of these macro dynamics have clearly impacted client sentiment.,quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2023,2023-10-13
"September is always a busy month seeing clients, and I am struck how consistently CEOs are less optimistic about 2024 than a few months ago. The shift in the rates question from how high to how long has catalyzed more client activity, however. Corporates have stopped waiting for rates to come down and are beginning to access the debt capital markets around the globe.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2023,2023-10-13
"Our multinational clients are adapting their operations to the evolving geopolitical landscape and building redundancy and resiliency. This plays to our strengths and strategy, in particular our invaluable global network. And between our high-quality asset portfolio, strong reserve levels, ample liquidity and diversified earnings base, we are proving to our clients that we truly are a bank for all seasons.",quarter,Jane Fraser,CEO,1,Prepared remarks,Q3_2023,2023-10-13
"Turning to the quarter, today we reported net income of $3.5 billion, an EPS of $1.63 and an ROTCE of 7.7%. Our revenues were up 10% ex-divestitures and each of our five core, interconnected businesses posted revenue growth. We remain on track to meet the revenue and expense guidance we set for the year.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"Let’s start with our fastest growing business, Services. TTS was up 12% from a year ago. That’s the highest revenue quarter in over a decade and it continues to outpace the target we set at Investor Day. Half of that growth was business drivers and the other half rates. Even with impact of the long-expected Argentine devaluation, we again drove fee growth, which is the best sign of the potential of our globally leading franchise.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"We keep relentlessly innovating for our clients. Amongst other launches, this quarter we announced the creation of Citi Token Services, which will use distributed ledger and smart contract technologies to deliver a digital asset solution for our TTS clients. This is a first for the industry as it allows us to seamlessly integrate a permissioned tokenized bank deposit network with traditional cash services such as 24/7 dollar clearing.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"Securities Services had revenue growth of 16%, with some good underlying fee growth. We took share again and we have grown our AUC/AUA by over $2 trillion in the last year. This business has considerable momentum and a strong pipeline of clients who are benefitting from the cloud and data investments we are making.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
Markets was up 10% year-over-year on the back of Rates & Currencies having the best third quarter in 10 years and Commodities grew nicely. This was partially offset by Equities which was down slightly. Despite this we continue to see good momentum in cash and we have grown prime balances year to date.,quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"Banking had a good quarter with revenues up 17%, with activity playing to our mix. While corporate lending was essentially flat, as we remain very disciplined about how we use our balance sheet, DCM was healthier and the IPO market also showed some signs of life. This helped drive Investment Banking revenue up 34%, albeit off of a low base and a small wallet. Sitting here today, it remains hard to predict when deal activity will sustainably rebound. Still, I am proud of our role advising on some of the biggest deals globally so far this year.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"As you know, we are committed to growing our Banking franchise. We have brought together the management of the Investment, Corporate, and Commercial Bank under one umbrella and this structure will help us better drive the important synergies between them. We have been bringing in new talent in key sectors and we have begun to provide more leveraged finance for key clients in the right situations.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"U.S. Personal Banking was also up double-digits, at 13%. Cards revenues were strong in both our Branded and Retail Services portfolios. The growth in spending is decelerating and the consumer is more mindful what they spend on. Indeed the affluent, who still have excess savings at their disposal, drove the growth in spending, with a continued tilt to travel and entertainment.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"During the quarter, we introduced “Simplified Banking” to improve the client experience for our Retail Banking clients. We believe that by tiering offerings and simplifying our fee structure, we will incentivize our clients to deepen their relationships with us. The early reaction from clients along those lines has been very positive.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
"Wealth revenues have stabilized and were up slightly. Most notably Investment revenues picked up across our geographies. The drivers for the franchise - such as referrals, client acquisition, and net new inflows - were all quite strong around the world. And we won important new mandates for Wealth at Work, an offering we had highlighted at Investor Day.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q3_2023,2023-10-13
Andy Sieg has now officially joined our firm. This is a time of massive global wealth creation- and our franchise is uniquely positioned for it. Andy will ensure we are at the forefront of what’s happening around the world.,quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
"In terms of our balance sheet, our discipline of growing operating deposits has enabled us to maintain a stable deposit base over the past five years. We grew loans during the quarter and our credit quality remains extremely strong, aided by our disciplined client selection.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
"Our CET1 ratio grew to 13.5% which is $14 billion above our regulatory minimum and still includes a 100bps internal management buffer. During the quarter, we returned $1.5 billion to our shareholders through common dividends and stock buybacks.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
"We continue to evaluate buybacks quarter-by-quarter and I expect we will continue to do a modest level in the fourth quarter, subject to approval by our Board. And while the ultimate impact of potentially higher capital requirements won’t be known until the Basel III endgame is finalized, we have been actively working through mitigating actions.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
"As you can see on slide 3, we are relentless in executing our strategy. This quarter we closed on the sale of our Taiwan consumer business, the second largest of the Asia consumer divestitures. And earlier this week, we announced that we will sell our consumer wealth portfolio in China to HSBC. This includes approximately $2.6 billion of assets under management and $1 billion of deposits.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
"In the fourth quarter, we expect to close on the sale of our Indonesia consumer business. In terms of the international consumer businesses we are exiting, in addition to the three wind-down markets, we have restarted the sales process in Poland, and we remain on track to separate Mexico next year, followed by an IPO in 2025.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
"Transformation remains our number one priority. We are deep into the large body of work of automating manual controls and processes, consolidating fragmented tech platforms, and upgrading our data architecture. We are committed to doing this the right way, knowing that it will take time to meet our regulators expectations and to deliver a modern, more efficient infrastructure.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
"Last month we announced consequential changes that align our organizational structure with our strategy and changes how we run the bank. I said at Investor Day that organizational simplification would follow the divestitures. The changes will eliminate layers, duplication, and complexity allowing us to operate the bank more agilely and freeing our people up to focus on clients and execution.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q3_2023,2023-10-13
