row_heading,row_number,preceding_quarter_trend_summary,year_on_year_quarter_trend_summary,current_quarter_value,preceding_quarter_value,prev_year_same_quarter_value,preceding_year_trend_summary,current_year_value,preceding_year_value,unit,page,section,reporting_period,date_of_presentation
Net interest income,1,Increased by $0.5B from 4Q22.,Increased by $6.9B from 1Q22.,20.8,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Noninterest revenue,2,Increased by $3.3B from 4Q22.,Increased by $0.9B from 1Q22.,18.5,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Managed revenue,3,Increased by $3.8B from 4Q22.,Increased by $7.7B from 1Q22.,39.3,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Expense,4,Increased by $1.1B from 4Q22.,Increased by $0.9B from 1Q22.,20.1,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Credit costs,5,Remained flat compared to 4Q22.,Increased by $0.8B from 1Q22.,2.3,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Net income,6,Increased by $1.6B from 4Q22.,Increased by $4.3B from 1Q22.,12.6,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Net income applicable to common stockholders,7,Increased by $1.6B from 4Q22.,Increased by $4.3B from 1Q22.,12.2,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
EPS - diluted,8,,,4.1,0.53,1.47,,,,USD,3,Financial Results,Q1_2023,2023-04-14
ROE,9,,,18.0,16.0,13.0,,,,%,3,Financial Results,Q1_2023,2023-04-14
ROTCE,10,,,23.0,20.0,16.0,,,,%,3,Financial Results,Q1_2023,2023-04-14
Overhead ratio – managed,11,,,51.0,53.0,61.0,,,,%,3,Financial Results,Q1_2023,2023-04-14
NII excluding Markets,12,Increased by $0.9B from 4Q22.,Increased by $9.2B from 1Q22.,20.9,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
NIR excluding Markets,13,Increased by $0.1B from 4Q22.,Decreased by $1.1B from 1Q22.,10.0,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Markets revenue,14,Increased by $2.7B from 4Q22.,Decreased by $0.4B from 1Q22.,8.4,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Managed revenue (Memo),15,Increased by $3.8B from 4Q22.,Increased by $7.7B from 1Q22.,39.3,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Adjusted expense,16,Increased by $0.9B from 4Q22.,Increased by $0.9B from 1Q22.,19.9,,,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Adjusted overhead ratio,17,,,51.0,53.0,60.0,,,,%,3,Financial Results,Q1_2023,2023-04-14
Net charge-offs,1,,,1.1,0.9,0.6,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Reserve build/(release),2,,,1.1,1.4,0.9,,,,$B,3,Financial Results,Q1_2023,2023-04-14
Credit costs,3,,,2.3,2.3,1.5,,,,$B,3,Financial Results,Q1_2023,2023-04-14
CCB ROE,1,,,40.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
CIB ROE,2,,,16.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
CB ROE,3,,,18.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
AWM ROE,4,,,34.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
CCB O/H ratio,5,,,49.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
CIB O/H ratio,6,,,55.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
CB O/H ratio,7,,,37.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
AWM O/H ratio,8,,,65.0,,,,,,%,3,Financial Results,Q1_2023,2023-04-14
CET1 capital,1,,,227.0,219.0,208.0,,,,$B,4,Financial Results,Q1_2023,2023-04-14
CET1 capital ratio – Standardized,2,,,13.8,13.2,11.9,,,,%,4,Financial Results,Q1_2023,2023-04-14
CET1 capital ratio – Advanced,3,,,13.9,13.6,12.7,,,,%,4,Financial Results,Q1_2023,2023-04-14
Basel III Standardized RWA,4,,,1650.0,1654.0,1751.0,,,,$B,4,Financial Results,Q1_2023,2023-04-14
Firm SLR,5,,,5.9,5.6,5.2,,,,%,4,Financial Results,Q1_2023,2023-04-14
