text,fiscal_period_ref,page,section,reporting_period,date_of_presentation
4Q24 Financial Results,quarter,1,Title,Q4_2024,2025-01-15
4Q24 and FY24 Financial Results start on page 1.,both,2,Title,Q4_2024,2025-01-15
Financial Outlook starts on page 9.,year,2,Title,Q4_2024,2025-01-15
Notes start on page 12.,both,2,Title,Q4_2024,2025-01-15
Return on tangible common equity (ROTCE) was 21%.,quarter,3,Financial Results,Q4_2024,2025-01-15
CET1 capital ratios were 15.7% (Standardized) and 15.8% (Advanced).,quarter,3,Financial Results,Q4_2024,2025-01-15
Total Loss-Absorbing Capacity was $547B.,quarter,3,Financial Results,Q4_2024,2025-01-15
Standardized Risk-Weighted Assets (RWA) were $1.8T.,quarter,3,Financial Results,Q4_2024,2025-01-15
Cash and marketable securities stood at $1.4T.,quarter,3,Financial Results,Q4_2024,2025-01-15
Average loans were $1.3T.,quarter,3,Financial Results,Q4_2024,2025-01-15
4Q24 net income was $14.0B and EPS was $4.81.,quarter,3,Financial Results,Q4_2024,2025-01-15
Managed revenue was $43.7B.,quarter,3,Financial Results,Q4_2024,2025-01-15
Expense was $22.8B and the managed overhead ratio was 52%.,quarter,3,Financial Results,Q4_2024,2025-01-15
Average loans of $1.3T were up 2% YoY and 1% QoQ.,quarter,3,Financial Results,Q4_2024,2025-01-15
Average deposits of $2.4T were up 2% YoY and 1% QoQ.,quarter,3,Financial Results,Q4_2024,2025-01-15
CET1 capital was $276B.,quarter,3,Financial Results,Q4_2024,2025-01-15
Common dividend was $3.5B or $1.25 per share.,quarter,3,Financial Results,Q4_2024,2025-01-15
Common stock net repurchases amounted to $4.0B.,quarter,3,Financial Results,Q4_2024,2025-01-15
Net payout for the last twelve months (LTM) was 54%.,year,3,Financial Results,Q4_2024,2025-01-15
Net income of $4.5B was down 6% YoY.,quarter,7,Financial Results,Q4_2024,2025-01-15
"Revenue of $18.4B was up 1% YoY, driven by higher noninterest revenue in Card Services & Auto and Home Lending, partially offset by lower net interest income.",quarter,7,Financial Results,Q4_2024,2025-01-15
"Expense of $9.7B was up 4% YoY, driven by higher compensation for advisors and bankers, and higher technology expense.",quarter,7,Financial Results,Q4_2024,2025-01-15
Credit costs were $2.6B.,quarter,7,Financial Results,Q4_2024,2025-01-15
"Net charge-offs (NCOs) of $2.1B were up $428mm YoY, driven by Card Services due to seasoning of recent vintages and balance growth.",quarter,7,Financial Results,Q4_2024,2025-01-15
"Net reserve build of $557mm was predominantly in Card Services, driven by growth in revolving balances.",quarter,7,Financial Results,Q4_2024,2025-01-15
Average loans were up 1% YoY and QoQ.,quarter,7,Financial Results,Q4_2024,2025-01-15
Average deposits were down 4% YoY and flat QoQ.,quarter,7,Financial Results,Q4_2024,2025-01-15
End-of-period (EOP) deposits were down 3% YoY and flat QoQ.,quarter,7,Financial Results,Q4_2024,2025-01-15
Active mobile customers were up 7% YoY.,quarter,7,Financial Results,Q4_2024,2025-01-15
Debit & credit card sales volume was up 8% YoY.,quarter,7,Financial Results,Q4_2024,2025-01-15
Client investment assets were up 14% YoY and 2% QoQ.,quarter,7,Financial Results,Q4_2024,2025-01-15
Net income of $6.6B was up 59% YoY; revenue of $17.6B was up 18% YoY.,quarter,8,Financial Results,Q4_2024,2025-01-15
"IB revenue of $2.6B was up 46% YoY, driven by higher fees across all products.",quarter,8,Financial Results,Q4_2024,2025-01-15
Payments revenue of $4.7B was up 6% YoY.,quarter,8,Financial Results,Q4_2024,2025-01-15
"Excluding the net impact of equity investments, Payments revenue was up 3%, driven by higher deposit balances and fee growth, offset by deposit margin compression.",quarter,8,Financial Results,Q4_2024,2025-01-15
"Lending revenue of $1.9B was up 9% YoY, driven by lower losses on hedges of the retained lending portfolio.",quarter,8,Financial Results,Q4_2024,2025-01-15
Markets revenue of $7.0B was up 21% YoY.,quarter,8,Financial Results,Q4_2024,2025-01-15
"Fixed Income Markets revenue of $5.0B was up 20% YoY, driven by higher revenue in Credit and Currencies & Emerging Markets.",quarter,8,Financial Results,Q4_2024,2025-01-15
"Equity Markets revenue of $2.0B was up 22% YoY, driven by higher client activity in Derivatives and Cash.",quarter,8,Financial Results,Q4_2024,2025-01-15
"Securities Services revenue of $1.3B was up 10% YoY, driven by fee growth, higher client activity, and higher deposit balances.",quarter,8,Financial Results,Q4_2024,2025-01-15
"Expense of $8.7B was up 7% YoY, driven by higher brokerage, technology, and legal expense.",quarter,8,Financial Results,Q4_2024,2025-01-15
"Credit costs were $61mm, driven by net downgrade activity and charge-offs, largely offset by a reserve release.",quarter,8,Financial Results,Q4_2024,2025-01-15
Net charge-offs (NCOs) were $300mm and there was a net reserve release of $239mm.,quarter,8,Financial Results,Q4_2024,2025-01-15
Net income of $1.5B was up 25% YoY.,quarter,9,Financial Results,Q4_2024,2025-01-15
"Revenue of $5.8B was up 13% YoY, driven by growth in management fees, strong net inflows, and higher performance fees.",quarter,9,Financial Results,Q4_2024,2025-01-15
"Expense of $3.8B was up 11% YoY, driven by higher compensation and distribution fees.",quarter,9,Financial Results,Q4_2024,2025-01-15
"AUM of $4.0T and client assets of $5.9T were each up 18% YoY, driven by continued net inflows and higher market levels.",quarter,9,Financial Results,Q4_2024,2025-01-15
"For the quarter, AUM had long-term net inflows of $76B and liquidity net inflows of $94B.",quarter,9,Financial Results,Q4_2024,2025-01-15
Average loans of $234B were up 3% YoY and 2% QoQ.,quarter,9,Financial Results,Q4_2024,2025-01-15
Average deposits of $249B were up 10% YoY and 5% QoQ.,quarter,9,Financial Results,Q4_2024,2025-01-15
Revenue of $2.0B was up $223mm YoY.,quarter,10,Financial Results,Q4_2024,2025-01-15
"Net interest income of $2.0B was down $415mm YoY, driven by lower rates, largely offset by securities reinvestment.",quarter,10,Financial Results,Q4_2024,2025-01-15
"Noninterest revenue was a net loss of $30mm, an improvement from a net loss of $668mm in the prior year, driven by lower net investment securities losses.",quarter,10,Financial Results,Q4_2024,2025-01-15
"Expense of $550mm was down $3.0B YoY, predominantly driven by the absence of the $2.9B FDIC special assessment in the prior year.",quarter,10,Financial Results,Q4_2024,2025-01-15
The outlook for 2025 NII ex. Markets is ~$90B.,year,12,Outlook,Q4_2024,2025-01-15
"The outlook is based on an implied rate curve with one rate cut, with the Federal Funds target upper bound at 4.25% at year-end.",year,12,Outlook,Q4_2024,2025-01-15
"Balance sheet growth, including card revolve growth and higher deposit balances, is expected to partially offset lower rates.",year,12,Outlook,Q4_2024,2025-01-15
"The 2025 outlook for Markets NII is ~$4B, leading to a Firmwide NII outlook of ~$94B.",year,12,Outlook,Q4_2024,2025-01-15
Volume and revenue-related expenses are expected to be driven by auto lease growth and capital markets activity.,year,13,Outlook,Q4_2024,2025-01-15
"Continued investment is planned for Bankers, Advisors, Branches, and International Consumer Initiatives to foster business growth.",year,13,Outlook,Q4_2024,2025-01-15
"Technology expenses will be driven by business growth, investments, public cloud, data centers, and cyber security.",year,13,Outlook,Q4_2024,2025-01-15
Marketing spend will continue to drive demand for card products and customer engagement.,year,13,Outlook,Q4_2024,2025-01-15
Inflation is expected to contribute ~$2B to expense growth across the firm.,year,13,Outlook,Q4_2024,2025-01-15
"Expect FY2025 net interest income of ~$94B, market dependent.",year,14,Outlook,Q4_2024,2025-01-15
"Expect FY2025 net interest income excluding Markets of ~$90B, market dependent.",year,14,Outlook,Q4_2024,2025-01-15
"Expect FY2025 adjusted expense of ~$95B, market dependent, which excludes Firmwide legal expense.",year,14,Outlook,Q4_2024,2025-01-15
Expect FY2025 Card Services NCO rate of ~3.6%.,year,14,Outlook,Q4_2024,2025-01-15
"The Firm reviews results on a 'managed' basis, a non-GAAP measure, to present revenue on a fully taxable-equivalent basis for comparability.",both,16,Footnotes,Q4_2024,2025-01-15
"Metrics excluding Markets, such as NII and NIR, are non-GAAP measures used to assess performance of core lending, investing, and deposit-raising activities separately from Markets volatility.",both,16,Footnotes,Q4_2024,2025-01-15
"Tangible common equity (TCE), return on tangible common equity (ROTCE), and tangible book value per share (TBVPS) are non-GAAP measures used to assess the Firm's use of equity.",both,16,Footnotes,Q4_2024,2025-01-15
"Full-year 2024 results included significant items: a $7.9B net gain on Visa shares, a $1.0B donation, $546mm in net investment securities losses, and a $725mm increase to the FDIC special assessment.",year,16,Footnotes,Q4_2024,2025-01-15
Adjusted expense and adjusted overhead ratio are non-GAAP measures that exclude Firmwide legal expenses to provide an alternate view of performance.,both,16,Footnotes,Q4_2024,2025-01-15
"CET1 capital and Total Loss-Absorbing Capacity as of December 31, 2024, reflected the remaining $720mm CECL capital transition benefit.",quarter,17,Footnotes,Q4_2024,2025-01-15
Total excess high-quality liquid assets (HQLA) represents the average eligible unencumbered liquid assets in excess of what is required under the LCR rule.,both,17,Footnotes,Q4_2024,2025-01-15
"During the fourth quarter of 2024, a change in funds transfer pricing for consumer deposits increased the funding benefit in CCB, with a full offset in Corporate net interest income.",quarter,17,Footnotes,Q4_2024,2025-01-15
