text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call
"Good morning, ladies and gentlemen. Welcome to JPMorganChase's First-Quarter 2025 Earnings Call. This call is being recorded.",quarter,Operator,Host,2,Introduction,Q1_2025,2025-04-11
Your line will be muted for the duration of the call. We will now go live to the presentation. The presentation is available on JPMorganChase's website. Please refer to the disclaimer in the back concerning forward-looking statements. Please stand by.,quarter,Operator,Host,2,Introduction,Q1_2025,2025-04-11
"At this time, I would like to turn the call over to JPMorganChase's Chairman and CEO, Jamie Dimon, and the Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead.",quarter,Operator,Host,2,Introduction,Q1_2025,2025-04-11
"Thank you and good morning, everyone. Starting on page 1, the Firm reported net income of $14.6 billion, EPS of $5.07 on revenue of $46 billion, with an ROTCE of 21%. These results included a First Republic-related gain of $588 million, which was previously disclosed in the 10-K.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11
"On page 2, we have more on our first-quarter results. The Firm reported revenue of $46 billion, up $3.5 billion, or 8% year-on-year.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11
"NII ex. Markets was down $430 million, or 2%, driven by the impact of lower rates and deposit margin compression, as well as lower deposit balances in CCB. This was predominantly offset by higher Card revolving balances, the impact of securities activity, including from prior quarters, as well as higher wholesale deposits.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11
"NIR ex. Markets was up $2.2 billion, or 20%, and excluding the significant item I just mentioned, was up 14%, largely on higher asset management fees, lower net investment securities losses and higher investment banking fees.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11
"And Markets revenue was up $1.7 billion, or 21%.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11
"Expenses of $23.6 billion were up $840 million, or 4%, largely driven by compensation, including growth in employees across the front office and technology, higher brokerage and distribution fees, as well as marketing and legal expense.",quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11
The quarter also reflected a $323 million release of the FDIC special assessment accrual compared with a $725 million increase in the prior quarter.,quarter,Jeremy Barnum,CFO,2,Prepared remarks,Q1_2025,2025-04-11
