text,banks_referenced,author,article_title,publication_date,is_comparative
"Warren Buffett's Berkshire Hathaway slashed its stakes in some of the US's biggest banks in the final three months of 2024, as the billionaire investor dumped billions of dollars' worth of Bank of America and Citigroup shares.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,True
"Warren Buffett's Berkshire Hathaway slashed its stakes in some of the US's biggest banks in the final three months of 2024, as the billionaire investor dumped billions of dollars' worth of Bank of America and Citigroup shares.",citigroup,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,True
"The sprawling conglomerate sold nearly three-quarters of its position in Citigroup, selling 40.6mn shares worth more than $2.4bn, according to a filing with US securities regulators published on Friday.",citigroup,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
"Berkshire also continued to sell shares of BofA, an investment that dates back to the financial crisis when Buffett stepped in to provide ballast to one of the country's largest lenders.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
"Berkshire, which owned a 13 per cent stake in the bank and has for years been the bank's biggest shareholder, waited for BofA and the wider US financial system to weather the regional banking crisis before it began cutting its position.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
"The disclosure on Friday showed Berkshire had cut its stake by a further 95mn shares since mid-October, when its ownership position fell below a 10 per cent reporting threshold. The sales in the weeks that followed reduced Berkshire's stake in BofA to about 8.9 per cent.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
"Buffett first made a large wager on BofA with an unsolicited $5bn investment in 2011, when it was still nursing huge losses from a pair of ill-advised acquisitions - the $40bn purchase of doomed mortgage broker Countrywide and the bailout of Merrill Lynch.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
"However, BofA's decision to invest in longer-dated Treasuries to bolster its earnings during the pandemic backfired when the Federal Reserve began aggressively lifting interest rates in 2022 and 2023.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
"Unable to redeploy that cash into higher-yielding investments, BofA's returns have lagged rivals recently.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
"For Citi, Berkshire's $3bn stock purchase in 2022 hasn't produced the same positive buzz that it did for BofA.",bankofamerica,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,True
"For Citi, Berkshire's $3bn stock purchase in 2022 hasn't produced the same positive buzz that it did for BofA.",citigroup,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,True
"The bank's return on tangible common equity - a profitability metric - was 7 per cent in 2024, up from 4.9 per cent in 2023, but lower than its main peers. Citi had targeted 11-12 per cent by the end of 2026, but reduced that range to 10-11 per cent in January.",citigroup,Eric Platt and Stephen Gandel,Warren Buffett's Berkshire Hathaway slashes stakes in Bank of America and Citi,2025-02-14,False
