text,banks_referenced,author,article_title,publication_date,is_comparative
"The combined performance by JPMorgan Chase, Goldman Sachs, Morgan Stanley, Bank of America and Citigroup marks a return to favour for a business that until 2020 had been a shadow of its pre-financial crisis form.",citigroup,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"The combined performance by JPMorgan Chase, Goldman Sachs, Morgan Stanley, Bank of America and Citigroup marks a return to favour for a business that until 2020 had been a shadow of its pre-financial crisis form.",bankofamerica,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"The combined performance by JPMorgan Chase, Goldman Sachs, Morgan Stanley, Bank of America and Citigroup marks a return to favour for a business that until 2020 had been a shadow of its pre-financial crisis form.",jpmorgan,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"On Tuesday, Citigroup reported a 20 per cent surge in first-quarter profits to $4.1bn, boosted by the performance of its trading business. Bank of America reported net profits of $7.4bn, up 11 per cent.",citigroup,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"On Tuesday, Citigroup reported a 20 per cent surge in first-quarter profits to $4.1bn, boosted by the performance of its trading business. Bank of America reported net profits of $7.4bn, up 11 per cent.",bankofamerica,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Citi and BofA reported smaller increases from trading than JPMorgan, Goldman Sachs and Morgan Stanley, which have bigger trading businesses",jpmorgan,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Citi and BofA reported smaller increases from trading than JPMorgan, Goldman Sachs and Morgan Stanley, which have bigger trading businesses",citigroup,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Citi and BofA reported smaller increases from trading than JPMorgan, Goldman Sachs and Morgan Stanley, which have bigger trading businesses",bankofamerica,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"However the two banks reported smaller increases from trading than JPMorgan, Goldman Sachs and Morgan Stanley, which have bigger trading businesses.",jpmorgan,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,False
"Goldman Sachs retained the equities trading crown, with $4.2bn in revenues from the business. But Morgan Stanley's gains of 45 per cent outpaced Goldman Sachs', taking it within $70mn of its rival. BofA and Citi both posted increases of less than 20 per cent, the lowest of the group. JPMorgan led in overall trading revenues with $9.7bn, up about a fifth from the year before.",citigroup,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Goldman Sachs retained the equities trading crown, with $4.2bn in revenues from the business. But Morgan Stanley's gains of 45 per cent outpaced Goldman Sachs', taking it within $70mn of its rival. BofA and Citi both posted increases of less than 20 per cent, the lowest of the group. JPMorgan led in overall trading revenues with $9.7bn, up about a fifth from the year before.",jpmorgan,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Goldman Sachs retained the equities trading crown, with $4.2bn in revenues from the business. But Morgan Stanley's gains of 45 per cent outpaced Goldman Sachs', taking it within $70mn of its rival. BofA and Citi both posted increases of less than 20 per cent, the lowest of the group. JPMorgan led in overall trading revenues with $9.7bn, up about a fifth from the year before.",bankofamerica,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Total investment banking fees at JPMorgan, Goldman Sachs, Morgan Stanley, BofA and Citi rose 2 per cent in the first quarter from a year ago to about $8bn, but the timing of fee payments means many of those relate to deals announced months earlier.",citigroup,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Total investment banking fees at JPMorgan, Goldman Sachs, Morgan Stanley, BofA and Citi rose 2 per cent in the first quarter from a year ago to about $8bn, but the timing of fee payments means many of those relate to deals announced months earlier.",bankofamerica,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
"Total investment banking fees at JPMorgan, Goldman Sachs, Morgan Stanley, BofA and Citi rose 2 per cent in the first quarter from a year ago to about $8bn, but the timing of fee payments means many of those relate to deals announced months earlier.",jpmorgan,Joshua Franklin,Wall Street banks reap $37bn from Trump trading boom,2025-04-15,True
