year,quarter,speaker,sentence,financial_terms,is_citi_member,Mentions Capital Adequacy & Buffers,Capital Adequacy & Buffers phrase,Mentions Liquidity,Liquidity phrase,Mentions Credit Risk & Loan Quality,Credit Risk & Loan Quality phrase,Mentions Stress Testing & Scenario Planning,Stress Testing & Scenario Planning phrase,Mentions Supervisory & Regulatory References,Supervisory & Regulatory References phrase,Mentions Regulators,Regulators phrase,Mentions Frameworks,Frameworks phrase,Mentions Internal Metrics,Internal Metrics phrase
2022,Q1,Jennifer Landis,And thank you all for joining us.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jennifer Landis,"I'd like to remind you that today's presentation, which is available for download on our website, citigroup.com, may contain forward-looking statements which are based on management's current expectations and are subject to uncertainty and changes in circumstances.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jennifer Landis,Actual results may differ materially from these statements due to a variety of factors including those described in our SEC filings.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jennifer Landis,"With that, I'll turn it over to Jane.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,And I'd like to start by reiterating my appreciation to those of you who participated in our Investor Day last month.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,We greatly valued the opportunity to walk you through our refreshed strategy and our plans for the next few years.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Given how much time we spent on our strategy that day, today we'll be focusing on the quarter.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Nonetheless, as we committed, we will keep you updated on our progress, and you can see the latest report card on slide 2.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Today is also the first time we're reporting quarterly results under our new segmentation, which will help you track our efforts.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,I've got to say it feels like an understatement to say that a lot has happened since Investor Day.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"So I'm going to talk about the macro environment first, and then after I talk about the quarter, I'll discuss how we're handling Russia and Mark's also going to go through it in more detail.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"We've been on the front foot since the potential for war first emerged, and we intend to remain so.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"The Russian invasion of Ukraine and the sanctions it triggered unleashed an enormous supply shock on the world, further fueling inflation and placing global growth under considerable pressure.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Back recently from seeing clients in Europe and the Middle East, it is security, yet energy, food, defense, cyber or operational resilience that has risen to the top of their strategic dialog.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,The macro outlook for the rest of the year can only be described as complex and uncertain.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"And while my job is to prepare for all outcomes, our view is that strong nominal income growth and continuing momentum in the labor market will help support near-term growth in the US economy in the face of inflationary pressures.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,But we expect material regional differences in the impact with economic growth in the individual consumer and businesses in Europe hit hardest.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"With central banks responding to inflation, we're entering a period of higher rates and a flatter US yield curve.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Energy and commodities are at the center of the storm globally, but we don't believe we're at the start of a new long supercycle, and we do expect prices to fall to more normal levels.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"So with that as a backdrop, I think the firm performed reasonably well this quarter.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Earlier today we reported net income of $4.3 billion, EPS of $2.02, and an RoTCE of 10.5%.","billion, , net income",yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"These numbers include impacts related to the divestitures, so the underlying business performance was stronger to the tune of about 150 basis points of RoTCE.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,Now let's turn to the performance of our five main reporting units.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Well, given our emphasis on Services, I'm particularly pleased with our performance in Treasury and Trade Solutions.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Fee growth, trade loans, and crossborder transactions – buoyed by higher rates – led to year-over-year revenue growth of 18%.",revenue,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,Securities Services also performed well despite the impact of markets with revenues up 6%.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"In our Markets business, our traders navigated a volatile environment quite well, aided by our mix, with notable performance amongst corporate clients and strong gains in FX and commodities.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,This led to revenues almost equal to the very active first quarter of 2021.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"As you might expect, Investment Banking is a different story.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"While our performance on the advisory side was respectable, I think we can perform a bit better in equity and debt capital markets going forward, even if the wallet remains smaller.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,Our pipelines are healthy and loan demand is on the rise.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Having said that, we don't expect robust activity in the capital markets to resume in the industry until the geopolitical situation and client sentiments improve.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"In US Personal Banking, we continue to see signs of how healthy and resilient the consumer is through our cost of credit and their payment rates.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,We see good engagement through key drivers such as card loans and spend volume growth.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"So, we like where this business is headed.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,Geopolitics dampened performance in Global Wealth Management this quarter.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"While revenues improved in the US, our clients in Asia pulled back on new investments and something we saw in our Markets franchise as well.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"As you know, we are hiring bankers and enhancing our client offerings such as Citi Alliance which we launched last month as a unique platform to support independent advisors.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"As a result of these efforts, we continued to add clients in both the Private Bank and in Citigold.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Turning to capital, we returned $4 billion to our shareholders through stock buybacks and dividends during the first quarter.",billion,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,We now have about 6% fewer common shares outstanding than we did a year ago.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"At the same time, a sharp increase in interest rates negatively impacted our capital through OCI and largely caused our common equity Tier 1 capital ratio to come in at 11.4% this quarter.",capital ratio,yes,Yes,"common equity tier 1, capital ratio, tier 1 capital",No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"I want to be upfront with you about the fact that the macro and geopolitical environment which I spoke about, combined with the impacts of our divestitures, create both headwinds and tailwinds for our capital ratios this year.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Now, whilst this will impact the level of our stock buybacks this year, we have a path to our year-end target of 12%, and Mark is going to walk you through these details.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"And let me be clear, we remain committed to continuing to return excess capital to our shareholders.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"As you heard at the Investor Day, we're focused on our transformation, and we're making the investments in our infrastructure, risk and controls, and also in our talent and our culture to modernize our bank and to make Citi a winning firm.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,I recognize that these investments impact our expenses and our returns in the short run.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"But I firmly believe that success here will not only lead to satisfying our regulatory obligations, but also to improving our competitiveness and our returns in the medium term.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"So far this year, we've announced new agreements to sell a further seven consumer businesses in Asia and EMEA, the most recent of which were India and Bahrain.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"We are beginning the sales process in Mexico, and there is significant interest in this iconic franchise.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"As you've heard me say, this is not an uncomplicated transaction given we will be separating our operations in order to retain our institutional presence.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,We will take the time necessary to do this the right way and decide which transaction is in the best interest of our shareholders.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"And we will keep you posted on any developments concerning the three remaining markets, China, Poland, and of course Russia.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"We started to carefully reduce our operations in and our exposures to Russia in January, and we benefited from being on the front foot here.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"We've been managing down our financial exposures both in level and composition, and they're at a reasonable level, especially given the additional reserves we took during the quarter.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"We've also increased reserves for the second and third order impact of the war beyond Russia and Ukraine, and our intention to sell significant portions of our local business in Russia remains.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"We are in continuous communication with the US government, and we continue to do our part to enforce the sanctions regime.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,But I've run out of words to describe the tragic consequences of the war in Ukraine.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,I remain incredibly proud of how our people have risen to the occasion from every corner of our firm.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,Our people in Ukraine have kept our bank operating in the country where they can help NGOs deliver aid on the ground and help society function as best as possible.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"And many of our colleagues have opened their homes to refugees, and we will continue to help in any way we can.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"So with all that is going on in the world, we remain laser-focused on the execution of our strategy and our transformation.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"I expect macro environment to remain unpredictable, to say the least, in the backdrop of a war which is equally tragic and unnecessary, and a persistent pandemic.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,And I can speak to the last one personally.,,yes,No,,No,,No,,No,,No,,No,,No,,No,
2022,Q1,Jane Fraser,"Having just recovered from a brief encounter with COVID, much as I would like to, I can't blame Paco for it.",,yes,No,,No,,No,,No,,No,,No,,No,,No,
