text,fiscal_period_ref,speaker,role,page,section,reporting_period,date_of_call,bank,document_type,source,sentiment
"The Fed continues to use rate policy to battle inflation, which has been more than stubborn in services, even as we see signs of cooling in labor and manufacturing. We expect the recent events to be disinflationary and credit to contract. We believe it is now more likely that the U.S. will enter into a shallow recession later this year. That could be exacerbated in depth and duration in a more severe “credit crunch.” But right now, the biggest unknown is the impact on terminal short-term US interest rates and, of course, how the debt ceiling plays out.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 2",Negative
"In Asia, the reopening of China is adding to the momentum in the region although the Chinese consumer has been slower to rebound than expected. I saw many green shoots firsthand talking to our clients and our bankers in my various trips to India, Japan, and Hong Kong this year. We have to keep a close eye on geopolitics as the US-China relationship becomes increasingly strained and is fragmenting economic blocs. We see this translate into shifts in flows and heightened cross-border volume across TTS and our global network.",quarter,Jane Fraser,CEO,2,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 2",Negative
"We did see a notable softening in consumer spending growth over the course of the quarter. Travel and entertainment continued to grow in March, but essentials were flat, and almost all other spend categories were down.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 3",Negative
"Savings rates are below historic averages. While the upper quintiles of household income still have roughly a trillion dollars in excess savings, the savings of the lower quintiles have been significantly drawn down. So we are keeping a diligent eye on the lower FICO bands as economic growth and services spend slow.",quarter,Jane Fraser,CEO,3,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 3",Negative
We built credit reserves this quarter on the back of growth in revolving balances in cards and poorer macro-outlooks. NCLs continued to normalize in Consumer while the health of our corporate base was evident in another quarter of very low NCLs.,quarter,Jane Fraser,CEO,3,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Jane Fraser (CEO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 3",Negative
"Cost of credit was approximately $2.0 billion, primarily driven by the continued normalization in Card net credit losses and ACL and other provision builds of approximately $700 million, largely related to a deterioration in macroeconomic assumptions and growth in card revolving balances.",quarter,Mark Mason,CFO,4,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 4",Negative
"In our ICG portfolio, of our total exposure, approximately 85% is investment grade. Of the international exposure, approximately 90% is investment grade or exposure to multinational clients or their subsidiaries. And corporate non-accrual loans remain low at about 40 basis points of total loans.",quarter,Mark Mason,CFO,5,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 5",Negative
"And finally, Banking revenues, excluding gains and losses on loan hedges, were down 21%, driven by Investment Banking, as heightened macro uncertainty and volatility continued to impact client activity. Having said that, we do see revenue growth sequentially largely driven by the investment grade market opening up.",quarter,Mark Mason,CFO,7,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 7",Negative
"Cost of credit was $1.6 billion, driven by higher net credit losses as we continue to see normalization in our card portfolios and a reserve build of approximately $500 million, largely driven by a deterioration in macroeconomic assumptions and card revolving balance growth.",quarter,Mark Mason,CFO,8,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 8",Negative
"Average loans increased 7% driven by cards, mortgages and installment lending. Average deposits decreased 3%, largely reflecting our Wealth clients putting cash to work in fixed income investments on our platform. And PBWM delivered an RoTCE of 5.5%, largely driven by higher credit costs.",quarter,Mark Mason,CFO,8,Prepared remarks,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 8",Negative
"Yeah, thanks, Glenn, and good morning. Appreciate the question. Look, we did have a very solid first quarter, but as Jane mentioned in her prepared remarks, there are a number of things that are still out there in the global macro environment that are uncertain and unclear, including, frankly, as we contemplate the direction of rates and what's required to tame inflation, let alone the uncertainty that we've seen in parts of the sector here through the quarter.",quarter,Mark Mason,CFO,9,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 9",Negative
"With that said, I mentioned earlier, there's still a bit of uncertainty in terms of how rates continue to evolve here in the US. We'll see how betas evolve. We've reached terminal betas in the US with our clients kind of at the end of last year, and so we'll see kind of what happens in terms of pricing through the balance of 2023.",quarter,Mark Mason,CFO,11,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 11",Negative
"And then the final point I'd make, Mike, that often people forget is that in that NII is Legacy NII, and so as we continue with our wind-downs, our divestitures, et cetera, that's going to be a headwind that we will have to deal with.",quarter,Mark Mason,CFO,11,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Mark Mason (CFO)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 11",Negative
"Hi. Good morning. And I think it's remarkable that your first two questions were essentially saying that your revenues are too conservative, so that's very notable for a Citi call.",quarter,Erika Najarian,Analyst,12,Q and A,Q1_2023,2023-04-14,Citigroup,transcript,"Erika Najarian (Analyst)
Citigroup, Q1, 2023 Earnings Call Transcript, Page 12",Negative
